Generation,Score,Fitness,Best Score,Best Fitness
512,2,130.05,13,790.0
513,2,137.49,18,984.0
514,2,128.09,18,972.0
515,3,142.01,12,693.0
516,2,115.41,16,893.0
517,2,129.11,15,808.0
518,2,125.27,16,927.0
519,3,160.06,14,764.0
520,2,144.47,13,720.0
521,3,148.41,12,717.0
522,3,159.68,21,1168.0
523,3,161.58,21,1186.0
524,3,174.42,16,987.0
525,3,150.71,17,908.0
526,3,163.17,15,876.0
527,3,174.47,19,1091.0
528,3,154.3,22,1261.0
529,3,175.32,21,1160.0
530,3,166.15,12,707.0
531,3,150.76,15,915.0
532,3,155.71,15,821.0
533,3,150.41,13,786.0
534,3,177.99,21,1174.0
535,3,158.46,27,1552.0
536,3,161.24,12,666.0
537,3,181.89,16,885.0
538,3,178.21,19,1115.0
539,3,197.86,20,1104.0
540,4,201.73,20,1191.0
541,3,208.63,20,1122.0
542,3,204.94,14,830.0
543,4,202.69,17,1003.0
544,4,202.91,19,1084.0
545,3,181.84,18,1048.0
546,3,171.26,16,973.0
547,4,215.91,21,1183.0
548,3,199.01,20,1120.0
549,3,165.42,16,941.0
550,3,203.13,17,919.0
551,3,184.67,19,1122.0
552,3,189.3,16,940.0
553,3,178.5,14,818.0
554,3,172.39,14,838.0
555,3,196.48,16,867.0
556,3,177.6,16,862.0
557,3,155.15,13,783.0
558,3,175.78,17,933.0
559,3,179.01,15,854.0
560,3,171.68,16,946.0
561,3,183.48,19,1121.0
562,3,166.66,18,1001.0
563,3,156.21,21,1194.0
564,4,233.53,16,974.0
565,3,200.8,22,1290.0
566,3,179.26,17,1000.0
567,3,191.82,14,822.0
568,4,250.48,22,1298.0
569,3,193.62,22,1190.0
570,4,234.23,19,1115.0
571,4,208.82,18,978.0
572,3,181.9,19,1054.0
573,3,196.02,20,1124.0
574,4,211.09,19,1076.0
575,4,210.04,18,1041.0
576,3,187.02,19,1058.0
577,4,217.67,19,1079.0
578,3,203.42,19,1112.0
579,3,179.24,19,1071.0
580,3,180.74,18,971.0
581,3,205.22,20,1187.0
582,2,143.13,14,780.0
583,3,198.04,23,1309.0
584,3,202.13,19,1069.0
585,3,205.44,16,988.0
586,3,208.45,20,1145.0
587,4,254.85,17,1025.0
588,4,215.01,20,1135.0
589,3,165.51,14,799.0
590,4,242.35,22,1232.0
591,3,209.03,22,1246.0
592,4,226.8,19,1068.0
593,3,186.62,14,868.0
594,3,204.29,20,1158.0
595,4,223.03,16,949.0
596,4,222.79,19,1049.0
597,4,228.39,23,1263.0
598,4,231.39,14,855.0
599,4,209.11,19,1074.0
600,3,202.05,20,1102.0
601,4,229.73,21,1122.0
602,4,226.53,18,1033.0
603,4,244.88,22,1247.0
604,4,223.47,23,1312.0
605,4,242.5,20,1136.0
606,4,239.75,20,1112.0
607,4,238.08,18,1068.0
608,4,265.38,24,1390.0
609,4,267.78,21,1250.0
610,4,212.91,20,1111.0
611,4,218.79,21,1184.0
612,4,227.2,21,1183.0
613,4,258.76,18,1018.0
614,4,227.39,18,1015.0
615,4,218.23,19,1078.0
616,4,216.45,20,1129.0
617,5,281.24,21,1174.0
618,4,256.11,22,1214.0
619,4,243.71,26,1413.0
620,4,214.09,22,1236.0
621,3,197.14,20,1132.0
622,4,248.23,21,1146.0
623,4,226.24,21,1172.0
624,3,172.4,21,1200.0
625,3,199.06,21,1167.0
626,4,222.38,17,945.0
627,4,244.75,19,1080.0
628,4,241.94,19,1174.0
629,4,222.44,19,1087.0
630,4,243.58,20,1113.0
631,4,253.44,22,1274.0
632,4,233.7,21,1227.0
633,4,226.7,21,1171.0
634,3,193.93,23,1277.0
635,3,188.21,20,1176.0
636,4,241.2,21,1237.0
637,3,200.63,19,1044.0
638,4,232.94,22,1186.0
639,4,227.38,20,1104.0
640,4,257.83,22,1257.0
641,4,218.95,22,1247.0
642,4,217.7,21,1198.0
643,4,216.53,21,1126.0
644,5,271.61,22,1252.0
645,4,244.66,22,1238.0
646,5,312.54,21,1199.0
647,4,248.76,17,1005.0
648,5,318.84,24,1338.0
649,5,274.45,24,1303.0
650,5,306.36,24,1407.0
651,4,244.56,22,1218.0
652,5,301.58,21,1200.0
653,5,286.1,21,1200.0
654,5,295.08,20,1126.0
655,3,201.97,20,1105.0
656,4,258.83,21,1170.0
